"Region","Year","ForestAreaOriginal","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"HR",2000,1885000,1319500,2450500,0,0
"HR",2001,1887946.1504,1321562,2454329,0,0
"HR",2002,1890892.3008,1323624,2458159,0,0
"HR",2003,1893838.4512,1325686,2461989,0,0
"HR",2004,1896784.6016,1327749,2465819,0,0
"HR",2005,1899730.752,1329811,2469649,0,0
"HR",2006,1902395.30706,1331676,2473113,0,0
"HR",2007,1905059.86212,1333541,2476577,0,0
"HR",2008,1907724.41718,1335407,2480041,0,0
"HR",2009,1910388.97224,1337272,2483505,0,0
"HR",2010,1913053.5273,1339137,2486969,0,0
"HR",2011,1914959.47106,1340471,2489447,0,0
"HR",2012,1916865.41482,1341805,2491925,0,0
"HR",2013,1918771.35858,1343139,2494402,0,0
"HR",2014,1920677.30234,1344474,2496880,0,0
"HR",2015,1922583.2461,1345808,2499358,0,0
"HR",2016,1924440.05392,1347108,2501772,0,0
"HR",2017,1926296.86174,1348407,2504185,0,0
"HR",2018,1928153.66956,1349707,2506599,0,0
"HR",2019,1930010.47738,1351007,2509013,0,0
"HR",2020,1931867.2852,1352307,2511427,0,0
"HR",2021,1933218.91488,1353253,2513184,0,0
"HR",2022,1934570.54456,1354199,2514941,0,0
"HR",2023,1935922.17424,1355145,2516698,0,0
"HR",2024,1937273.80392,1356091,2518455,0,0
"HR",2025,1938625.4336,1357037,2520213,0,0
"HR",2026,1939931.32032,1357951,2521910,0,0
"HR",2027,1941237.20704,1358866,2523608,0,0
"HR",2028,1942543.09376,1359780,2525306,0,0
"HR",2029,1943848.98048,1360694,2527003,0,0
"HR",2030,1945154.8672,1361608,2528701,0,0
"HR",2031,1946261.62032,1362383,2530140,0,0
"HR",2032,1947368.37344,1363157,2531578,0,0
"HR",2033,1948475.12656,1363932,2533017,0,0
"HR",2034,1949581.87968,1364707,2534456,0,0
"HR",2035,1950688.6328,1365482,2535895,0,0
"HR",2036,1951630.01718,1366141,2537119,0,0
"HR",2037,1952571.40156,1366799,2538342,0,0
"HR",2038,1953512.78594,1367458,2539566,0,0
"HR",2039,1954454.17032,1368117,2540790,0,0
"HR",2040,1955395.5547,1368776,2542014,0,0
"HR",2041,1956351.57032,1369446,2543257,0,0
"HR",2042,1957307.58594,1370115,2544499,0,0
"HR",2043,1958263.60156,1370784,2545742,0,0
"HR",2044,1959219.61718,1371453,2546985,0,0
"HR",2045,1960175.6328,1372122,2548228,0,0
"HR",2046,1961141.94686,1372799,2549484,0,0
"HR",2047,1962108.26092,1373475,2550740,0,0
"HR",2048,1963074.57498,1374152,2551996,0,0
"HR",2049,1964040.88904,1374828,2553253,0,0
"HR",2050,1965007.2031,1375505,2554509,0,0
"HR",2051,1965979.90936,1376185,2555773,0,0
"HR",2052,1966952.61562,1376866,2557038,0,0
"HR",2053,1967925.32188,1377547,2558302,0,0
"HR",2054,1968898.02814,1378228,2559567,0,0
"HR",2055,1969870.7344,1378909,2560831,0,0
"HR",2056,1970847.57346,1379593,2562101,0,0
"HR",2057,1971824.41252,1380277,2563371,0,0
"HR",2058,1972801.25158,1380960,2564641,0,0
"HR",2059,1973778.09064,1381644,2565911,0,0
"HR",2060,1974754.9297,1382328,2567181,0,0
"HR",2061,1975734.99688,1383014,2568455,0,0
"HR",2062,1976715.06406,1383700,2569729,0,0
"HR",2063,1977695.13124,1384386,2571003,0,0
"HR",2064,1978675.19842,1385072,2572277,0,0
"HR",2065,1979655.2656,1385758,2573551,0,0
"HR",2066,1980637.84216,1386446,2574829,0,0
"HR",2067,1981620.41872,1387134,2576106,0,0
"HR",2068,1982602.99528,1387822,2577383,0,0
"HR",2069,1983585.57184,1388509,2578661,0,0
"HR",2070,1984568.1484,1389197,2579938,0,0
