"Region","Year","ForestAreaOriginal","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"PL",2000,8597476,6018233,11176718,0,0
"PL",2001,8637905.61562,6046533,11229277,0,0
"PL",2002,8678335.23124,6074834,11281835,0,0
"PL",2003,8718764.84686,6103135,11334394,0,0
"PL",2004,8759194.46248,6131436,11386952,0,0
"PL",2005,8799624.0781,6159736,11439511,0,0
"PL",2006,8831352.10624,6181946,11480757,0,0
"PL",2007,8863080.13438,6204156,11522004,0,0
"PL",2008,8894808.16252,6226365,11563250,0,0
"PL",2009,8926536.19066,6248575,11604497,0,0
"PL",2010,8958264.2188,6270784,11645743,0,0
"PL",2011,8987392.67504,6291174,11683610,0,0
"PL",2012,9016521.13128,6311564,11721477,0,0
"PL",2013,9045649.58752,6331954,11759344,0,0
"PL",2014,9074778.04376,6352344,11797211,0,0
"PL",2015,9103906.5,6372734,11835078,0,0
"PL",2016,9129660.8,6390762,11868559,0,0
"PL",2017,9155415.1,6408790,11902039,0,0
"PL",2018,9181169.4,6426818,11935520,0,0
"PL",2019,9206923.7,6444846,11969000,0,0
"PL",2020,9232678,6462874,12002481,0,0
"PL",2021,9250450.3875,6475315,12025585,0,0
"PL",2022,9268222.775,6487755,12048689,0,0
"PL",2023,9285995.1625,6500196,12071793,0,0
"PL",2024,9303767.55,6512637,12094897,0,0
"PL",2025,9321539.9375,6525077,12118001,0,0
"PL",2026,9335464.9625,6534825,12136104,0,0
"PL",2027,9349389.9875,6544572,12154206,0,0
"PL",2028,9363315.0125,6554320,12172309,0,0
"PL",2029,9377240.0375,6564068,12190412,0,0
"PL",2030,9391165.0625,6573815,12208514,0,0
"PL",2031,9404980.2625,6583486,12226474,0,0
"PL",2032,9418795.4625,6593156,12244434,0,0
"PL",2033,9432610.6625,6602827,12262393,0,0
"PL",2034,9446425.8625,6612498,12280353,0,0
"PL",2035,9460241.0625,6622168,12298313,0,0
"PL",2036,9472290.8375,6630603,12313978,0,0
"PL",2037,9484340.6125,6639038,12329642,0,0
"PL",2038,9496390.3875,6647473,12345307,0,0
"PL",2039,9508440.1625,6655908,12360972,0,0
"PL",2040,9520489.9375,6664342,12376636,0,0
"PL",2041,9531294.0125,6671905,12390682,0,0
"PL",2042,9542098.0875,6679468,12404727,0,0
"PL",2043,9552902.1625,6687031,12418772,0,0
"PL",2044,9563706.2375,6694594,12432818,0,0
"PL",2045,9574510.3125,6702157,12446863,0,0
"PL",2046,9584603.05,6709222,12459983,0,0
"PL",2047,9594695.7875,6716287,12473104,0,0
"PL",2048,9604788.525,6723351,12486225,0,0
"PL",2049,9614881.2625,6730416,12499345,0,0
"PL",2050,9624974,6737481,12512466,0,0
"PL",2051,9633716.475,6743601,12523831,0,0
"PL",2052,9642458.95,6749721,12535196,0,0
"PL",2053,9651201.425,6755840,12546561,0,0
"PL",2054,9659943.9,6761960,12557927,0,0
"PL",2055,9668686.375,6768080,12569292,0,0
"PL",2056,9676982,6773887,12580076,0,0
"PL",2057,9685277.625,6779694,12590860,0,0
"PL",2058,9693573.25,6785501,12601645,0,0
"PL",2059,9701868.875,6791308,12612429,0,0
"PL",2060,9710164.5,6797115,12623213,0,0
"PL",2061,9718310.6,6802817,12633803,0,0
"PL",2062,9726456.7,6808519,12644393,0,0
"PL",2063,9734602.8,6814221,12654983,0,0
"PL",2064,9742748.9,6819924,12665573,0,0
"PL",2065,9750895,6825626,12676163,0,0
"PL",2066,9758176.275,6830723,12685629,0,0
"PL",2067,9765457.55,6835820,12695094,0,0
"PL",2068,9772738.825,6840917,12704560,0,0
"PL",2069,9780020.1,6846014,12714026,0,0
"PL",2070,9787301.375,6851110,12723491,0,0
